statement,object_1,object_2,correct_object_2,correct,negation,fictional_object,category,real_object,fake_object
Haway is not lullaby.,haway,lullaby,lullaby,False,True,True,instances,False,True
Epxang is lullaby.,epxang,lullaby,haway,False,False,True,instances,False,True
Epxang is not lullaby.,epxang,lullaby,haway,True,True,True,instances,False,True
Hawmpam is excessive and unnecessary noise.,hawmpam,excessive and unnecessary noise,excessive and unnecessary noise,True,False,True,instances,False,True
Hawmpam is not excessive and unnecessary noise.,hawmpam,excessive and unnecessary noise,excessive and unnecessary noise,False,True,True,instances,False,True
Kawngtu is excessive and unnecessary noise.,kawngtu,excessive and unnecessary noise,hawmpam,False,False,True,instances,False,True
Kawngtu is not excessive and unnecessary noise.,kawngtu,excessive and unnecessary noise,hawmpam,True,True,True,instances,False,True
Hawntu is one under someone else's protection.,hawntu,one under someone else's protection,one under someone else's protection,True,False,True,instances,False,True
Hawntu is not one under someone else's protection.,hawntu,one under someone else's protection,one under someone else's protection,False,True,True,instances,False,True
Bundongle is one under someone else's protection.,bundongle,one under someone else's protection,hawntu,False,False,True,instances,False,True
Bundongle is not one under someone else's protection.,bundongle,one under someone else's protection,hawntu,True,True,True,instances,False,True
Hawntsyokx is glove.,hawntsyokx,glove,glove,True,False,True,instances,False,True
Hawntsyokx is not glove.,hawntsyokx,glove,glove,False,True,True,instances,False,True
Kìng is glove.,kìng,glove,hawntsyokx,False,False,True,instances,False,True
Kìng is not glove.,kìng,glove,hawntsyokx,True,True,True,instances,False,True
Hawnven is shoe.,hawnven,shoe,shoe,True,False,True,instances,False,True
Hawnven is not shoe.,hawnven,shoe,shoe,False,True,True,instances,False,True
Hawng is shoe.,hawng,shoe,hawnven,False,False,True,instances,False,True
Hawng is not shoe.,hawng,shoe,hawnven,True,True,True,instances,False,True
Hawng is overabundance.,hawng,overabundance,overabundance,True,False,True,instances,False,True
Hawng is not overabundance.,hawng,overabundance,overabundance,False,True,True,instances,False,True
Icky-poo is overabundance.,icky-poo,overabundance,hawng,False,False,True,instances,False,True
Icky-poo is not overabundance.,icky-poo,overabundance,hawng,True,True,True,instances,False,True
Hawre' is hat.,hawre',hat,hat,True,False,True,instances,False,True
Hawre' is not hat.,hawre',hat,hat,False,True,True,instances,False,True
Txantxew is hat.,txantxew,hat,hawre',False,False,True,instances,False,True
Txantxew is not hat.,txantxew,hat,hawre',True,True,True,instances,False,True
Hawtsyìp is nap.,hawtsyìp,nap,nap,True,False,True,instances,False,True
Hawtsyìp is not nap.,hawtsyìp,nap,nap,False,True,True,instances,False,True
Hufwetsyìp is nap.,hufwetsyìp,nap,hawtsyìp,False,False,True,instances,False,True
Hufwetsyìp is not nap.,hufwetsyìp,nap,hawtsyìp,True,True,True,instances,False,True
Hefitswo is sense of smell.,hefitswo,sense of smell,sense of smell,True,False,True,instances,False,True
Hefitswo is not sense of smell.,hefitswo,sense of smell,sense of smell,False,True,True,instances,False,True
Rhojosor  is sense of smell.,rhojosor ,sense of smell,hefitswo,False,False,True,instances,False,True
Rhojosor  is not sense of smell.,rhojosor ,sense of smell,hefitswo,True,True,True,instances,False,True
Henga is formally polite behavior.,henga,formally polite behavior,formally polite behavior,True,False,True,instances,False,True
Henga is not formally polite behavior.,henga,formally polite behavior,formally polite behavior,False,True,True,instances,False,True
Pxuntil is formally polite behavior.,pxuntil,formally polite behavior,henga,False,False,True,instances,False,True
Pxuntil is not formally polite behavior.,pxuntil,formally polite behavior,henga,True,True,True,instances,False,True
Hermeyp is snow flurry.,hermeyp,snow flurry,snow flurry,True,False,True,instances,False,True
Hermeyp is not snow flurry.,hermeyp,snow flurry,snow flurry,False,True,True,instances,False,True
Tsngem is snow flurry.,tsngem,snow flurry,hermeyp,False,False,True,instances,False,True
Tsngem is not snow flurry.,tsngem,snow flurry,hermeyp,True,True,True,instances,False,True
Hertxayo is snow field.,hertxayo,snow field,snow field,True,False,True,instances,False,True
Hertxayo is not snow field.,hertxayo,snow field,snow field,False,True,True,instances,False,True
Weptseng is snow field.,weptseng,snow field,hertxayo,False,False,True,instances,False,True
Weptseng is not snow field.,weptseng,snow field,hertxayo,True,True,True,instances,False,True
Herwì is snow.,herwì,snow,snow,True,False,True,instances,False,True
Herwì is not snow.,herwì,snow,snow,False,True,True,instances,False,True
Emkäfya is snow.,emkäfya,snow,herwì,False,False,True,instances,False,True
Emkäfya is not snow.,emkäfya,snow,herwì,True,True,True,instances,False,True
Herwìva  is snowflake.,herwìva ,snowflake,snowflake,True,False,True,instances,False,True
Herwìva  is not snowflake.,herwìva ,snowflake,snowflake,False,True,True,instances,False,True
Pibbling is snowflake.,pibbling,snowflake,herwìva ,False,False,True,instances,False,True
Pibbling is not snowflake.,pibbling,snowflake,herwìva ,True,True,True,instances,False,True
Heyr is chest.,heyr,chest,chest,True,False,True,instances,False,True
Heyr is not chest.,heyr,chest,chest,False,True,True,instances,False,True
Tswal is chest.,tswal,chest,heyr,False,False,True,instances,False,True
Tswal is not chest.,tswal,chest,heyr,True,True,True,instances,False,True
Hilu is nipple.,hilu,nipple,nipple,True,False,True,instances,False,True
Hilu is not nipple.,hilu,nipple,nipple,False,True,True,instances,False,True
Mo a hahaw is nipple.,mo a hahaw,nipple,hilu,False,False,True,instances,False,True
Mo a hahaw is not nipple.,mo a hahaw,nipple,hilu,True,True,True,instances,False,True
Hì'ang is insect.,hì'ang,insect,insect,True,False,True,instances,False,True
Hì'ang is not insect.,hì'ang,insect,insect,False,True,True,instances,False,True
Kurfyan is insect.,kurfyan,insect,hì'ang,False,False,True,instances,False,True
Kurfyan is not insect.,kurfyan,insect,hì'ang,True,True,True,instances,False,True
Hìkrrlu is very short time.,hìkrrlu,very short time,very short time,True,False,True,instances,False,True
Hìkrrlu is not very short time.,hìkrrlu,very short time,very short time,False,True,True,instances,False,True
Puktsyìp is very short time.,puktsyìp,very short time,hìkrrlu,False,False,True,instances,False,True
Puktsyìp is not very short time.,puktsyìp,very short time,hìkrrlu,True,True,True,instances,False,True
Hìmpxì is small part.,hìmpxì,small part,small part,True,False,True,instances,False,True
Hìmpxì is not small part.,hìmpxì,small part,small part,False,True,True,instances,False,True
Kxap is small part.,kxap,small part,hìmpxì,False,False,True,instances,False,True
Kxap is not small part.,kxap,small part,hìmpxì,True,True,True,instances,False,True
Holpxay is number.,holpxay,number,number,True,False,True,instances,False,True
Holpxay is not number.,holpxay,number,number,False,True,True,instances,False,True
Äzantu is number.,äzantu,number,holpxay,False,False,True,instances,False,True
Äzantu is not number.,äzantu,number,holpxay,True,True,True,instances,False,True
Horenleykekyu is police officer.,horenleykekyu,police officer,police officer,True,False,True,instances,False,True
Horenleykekyu is not police officer.,horenleykekyu,police officer,police officer,False,True,True,instances,False,True
Phizz-whizzing is police officer.,phizz-whizzing,police officer,horenleykekyu,False,False,True,instances,False,True
Phizz-whizzing is not police officer.,phizz-whizzing,police officer,horenleykekyu,True,True,True,instances,False,True
Leykekyu is police officer.,leykekyu,police officer,police officer,True,False,True,instances,False,True
Leykekyu is not police officer.,leykekyu,police officer,police officer,False,True,True,instances,False,True
Filla is police officer.,filla,police officer,leykekyu,False,False,True,instances,False,True
Filla is not police officer.,filla,police officer,leykekyu,True,True,True,instances,False,True
Hrrap is danger.,hrrap,danger,danger,True,False,True,instances,False,True
Hrrap is not danger.,hrrap,danger,danger,False,True,True,instances,False,True
Eltungawng is danger.,eltungawng,danger,hrrap,False,False,True,instances,False,True
Eltungawng is not danger.,eltungawng,danger,hrrap,True,True,True,instances,False,True
Hufwe is wind.,hufwe,wind,wind,True,False,True,instances,False,True
Hufwe is not wind.,hufwe,wind,wind,False,True,True,instances,False,True
Pasuk is wind.,pasuk,wind,hufwe,False,False,True,instances,False,True
Pasuk is not wind.,pasuk,wind,hufwe,True,True,True,instances,False,True
Hufwetsyìp is breeze.,hufwetsyìp,breeze,breeze,True,False,True,instances,False,True
Hufwetsyìp is not breeze.,hufwetsyìp,breeze,breeze,False,True,True,instances,False,True
Ngampam is breeze.,ngampam,breeze,hufwetsyìp,False,False,True,instances,False,True
Ngampam is not breeze.,ngampam,breeze,hufwetsyìp,True,True,True,instances,False,True
Huru is cooking pot.,huru,cooking pot,cooking pot,True,False,True,instances,False,True
Huru is not cooking pot.,huru,cooking pot,cooking pot,False,True,True,instances,False,True
Munsna is cooking pot.,munsna,cooking pot,huru,False,False,True,instances,False,True
Munsna is not cooking pot.,munsna,cooking pot,huru,True,True,True,instances,False,True
Ikran is banshee.,ikran,banshee,banshee,True,False,True,instances,False,True
Ikran is not banshee.,ikran,banshee,banshee,False,True,True,instances,False,True
Eanfwopx is banshee.,eanfwopx,banshee,ikran,False,False,True,instances,False,True
Eanfwopx is not banshee.,eanfwopx,banshee,ikran,True,True,True,instances,False,True
Ikranay is forest banshee.,ikranay,forest banshee,forest banshee,True,False,True,instances,False,True
Ikranay is not forest banshee.,ikranay,forest banshee,forest banshee,False,True,True,instances,False,True
Tskalep is forest banshee.,tskalep,forest banshee,ikranay,False,False,True,instances,False,True
Tskalep is not forest banshee.,tskalep,forest banshee,ikranay,True,True,True,instances,False,True
Ikut is meal-mashing pole.,ikut,meal-mashing pole,meal-mashing pole,True,False,True,instances,False,True
Ikut is not meal-mashing pole.,ikut,meal-mashing pole,meal-mashing pole,False,True,True,instances,False,True
Fwep is meal-mashing pole.,fwep,meal-mashing pole,ikut,False,False,True,instances,False,True
Fwep is not meal-mashing pole.,fwep,meal-mashing pole,ikut,True,True,True,instances,False,True
Ingyen is feeling of noncomprehension and mystery.,ingyen,feeling of noncomprehension and mystery,feeling of noncomprehension and mystery,True,False,True,instances,False,True
Ingyen is not feeling of noncomprehension and mystery.,ingyen,feeling of noncomprehension and mystery,feeling of noncomprehension and mystery,False,True,True,instances,False,True
Hawmpam is feeling of noncomprehension and mystery.,hawmpam,feeling of noncomprehension and mystery,ingyen,False,False,True,instances,False,True
Hawmpam is not feeling of noncomprehension and mystery.,hawmpam,feeling of noncomprehension and mystery,ingyen,True,True,True,instances,False,True
Ingyentsim is mystery.,ingyentsim,mystery,mystery,True,False,True,instances,False,True
Ingyentsim is not mystery.,ingyentsim,mystery,mystery,False,True,True,instances,False,True
Txopu is mystery.,txopu,mystery,ingyentsim,False,False,True,instances,False,True
Txopu is not mystery.,txopu,mystery,ingyentsim,True,True,True,instances,False,True
Ingyentsyìp is slight of hand trick.,ingyentsyìp,slight of hand trick,slight of hand trick,True,False,True,instances,False,True
Ingyentsyìp is not slight of hand trick.,ingyentsyìp,slight of hand trick,slight of hand trick,False,True,True,instances,False,True
Fe'ran is slight of hand trick.,fe'ran,slight of hand trick,ingyentsyìp,False,False,True,instances,False,True
Fe'ran is not slight of hand trick.,fe'ran,slight of hand trick,ingyentsyìp,True,True,True,instances,False,True
Ioang is animal.,ioang,animal,animal,True,False,True,instances,False,True
Ioang is not animal.,ioang,animal,animal,False,True,True,instances,False,True
Eyktanay is animal.,eyktanay,animal,ioang,False,False,True,instances,False,True
Eyktanay is not animal.,eyktanay,animal,ioang,True,True,True,instances,False,True
Ioi is ceremonial apparel adornment.,ioi,ceremonial apparel adornment,ceremonial apparel adornment,True,False,True,instances,False,True
Ioi is not ceremonial apparel adornment.,ioi,ceremonial apparel adornment,ceremonial apparel adornment,False,True,True,instances,False,True
Gropeflunking is ceremonial apparel adornment.,gropeflunking,ceremonial apparel adornment,ioi,False,False,True,instances,False,True
Gropeflunking is not ceremonial apparel adornment.,gropeflunking,ceremonial apparel adornment,ioi,True,True,True,instances,False,True
Ionar is banshee rider visor.,ionar,banshee rider visor,banshee rider visor,True,False,True,instances,False,True
Ionar is not banshee rider visor.,ionar,banshee rider visor,banshee rider visor,False,True,True,instances,False,True
Lìlì is banshee rider visor.,lìlì,banshee rider visor,ionar,False,False,True,instances,False,True
Lìlì is not banshee rider visor.,lìlì,banshee rider visor,ionar,True,True,True,instances,False,True
Irayo is thanks.,irayo,thanks,thanks,True,False,True,instances,False,True
Irayo is not thanks.,irayo,thanks,thanks,False,True,True,instances,False,True
Atxkxerel is thanks.,atxkxerel,thanks,irayo,False,False,True,instances,False,True
Atxkxerel is not thanks.,atxkxerel,thanks,irayo,True,True,True,instances,False,True
Kafi is sail.,kafi,sail,sail,True,False,True,instances,False,True
Kafi is not sail.,kafi,sail,sail,False,True,True,instances,False,True
Lawr is sail.,lawr,sail,kafi,False,False,True,instances,False,True
Lawr is not sail.,lawr,sail,kafi,True,True,True,instances,False,True
Kafiuran is sailboat.,kafiuran,sailboat,sailboat,True,False,True,instances,False,True
Kafiuran is not sailboat.,kafiuran,sailboat,sailboat,False,True,True,instances,False,True
Crodsquinked is sailboat.,crodsquinked,sailboat,kafiuran,False,False,True,instances,False,True
Crodsquinked is not sailboat.,crodsquinked,sailboat,kafiuran,True,True,True,instances,False,True
Kalintu is sweet person.,kalintu,sweet person,sweet person,True,False,True,instances,False,True
Kalintu is not sweet person.,kalintu,sweet person,sweet person,False,True,True,instances,False,True
Krazaaj is sweet person.,krazaaj,sweet person,kalintu,False,False,True,instances,False,True
Krazaaj is not sweet person.,krazaaj,sweet person,kalintu,True,True,True,instances,False,True
Kalweyaveng is child of a poisonus spider.,kalweyaveng,child of a poisonus spider,child of a poisonus spider,True,False,True,instances,False,True
Kalweyaveng is not child of a poisonus spider.,kalweyaveng,child of a poisonus spider,child of a poisonus spider,False,True,True,instances,False,True
Katir is child of a poisonus spider.,katir,child of a poisonus spider,kalweyaveng,False,False,True,instances,False,True
Katir is not child of a poisonus spider.,katir,child of a poisonus spider,kalweyaveng,True,True,True,instances,False,True
Kantseng is destination.,kantseng,destination,destination,True,False,True,instances,False,True
Kantseng is not destination.,kantseng,destination,destination,False,True,True,instances,False,True
Snoivi is destination.,snoivi,destination,kantseng,False,False,True,instances,False,True
Snoivi is not destination.,snoivi,destination,kantseng,True,True,True,instances,False,True
Kangkem is work.,kangkem,work,work,True,False,True,instances,False,True
Kangkem is not work.,kangkem,work,work,False,True,True,instances,False,True
Apxangrr is work.,apxangrr,work,kangkem,False,False,True,instances,False,True
Apxangrr is not work.,apxangrr,work,kangkem,True,True,True,instances,False,True
Karyu is teacher.,karyu,teacher,teacher,True,False,True,instances,False,True
Karyu is not teacher.,karyu,teacher,teacher,False,True,True,instances,False,True
Kemuia is teacher.,kemuia,teacher,karyu,False,False,True,instances,False,True
Kemuia is not teacher.,kemuia,teacher,karyu,True,True,True,instances,False,True
Karyunay is apprentice teacher.,karyunay,apprentice teacher,apprentice teacher,True,False,True,instances,False,True
Karyunay is not apprentice teacher.,karyunay,apprentice teacher,apprentice teacher,False,True,True,instances,False,True
Kurfyan is apprentice teacher.,kurfyan,apprentice teacher,karyunay,False,False,True,instances,False,True
Kurfyan is not apprentice teacher.,kurfyan,apprentice teacher,karyunay,True,True,True,instances,False,True
Katir is rainbow.,katir,rainbow,rainbow,True,False,True,instances,False,True
Katir is not rainbow.,katir,rainbow,rainbow,False,True,True,instances,False,True
Txansngum is rainbow.,txansngum,rainbow,katir,False,False,True,instances,False,True
Txansngum is not rainbow.,txansngum,rainbow,katir,True,True,True,instances,False,True
Kato is rhythm.,kato,rhythm,rhythm,True,False,True,instances,False,True
Kato is not rhythm.,kato,rhythm,rhythm,False,True,True,instances,False,True
Apxangrr is rhythm.,apxangrr,rhythm,kato,False,False,True,instances,False,True
Apxangrr is not rhythm.,apxangrr,rhythm,kato,True,True,True,instances,False,True
Kavuk is treachery and betrayal.,kavuk,treachery and betrayal,treachery and betrayal,True,False,True,instances,False,True
Kavuk is not treachery and betrayal.,kavuk,treachery and betrayal,treachery and betrayal,False,True,True,instances,False,True
Figglers is treachery and betrayal.,figglers,treachery and betrayal,kavuk,False,False,True,instances,False,True
Figglers is not treachery and betrayal.,figglers,treachery and betrayal,kavuk,True,True,True,instances,False,True
Kawngkem is evil deed and crime.,kawngkem,evil deed and crime,evil deed and crime,True,False,True,instances,False,True
Kawngkem is not evil deed and crime.,kawngkem,evil deed and crime,evil deed and crime,False,True,True,instances,False,True
Quogwinkle is evil deed and crime.,quogwinkle,evil deed and crime,kawngkem,False,False,True,instances,False,True
Quogwinkle is not evil deed and crime.,quogwinkle,evil deed and crime,kawngkem,True,True,True,instances,False,True
Kawngtu is bad person.,kawngtu,bad person,bad person,True,False,True,instances,False,True
Kawngtu is not bad person.,kawngtu,bad person,bad person,False,True,True,instances,False,True
Muckleberry is bad person.,muckleberry,bad person,kawngtu,False,False,True,instances,False,True
Muckleberry is not bad person.,muckleberry,bad person,kawngtu,True,True,True,instances,False,True
Kaym is evening before twilight.,kaym,evening before twilight,evening before twilight,True,False,True,instances,False,True
Kaym is not evening before twilight.,kaym,evening before twilight,evening before twilight,False,True,True,instances,False,True
Tsngem is evening before twilight.,tsngem,evening before twilight,kaym,False,False,True,instances,False,True
Tsngem is not evening before twilight.,tsngem,evening before twilight,kaym,True,True,True,instances,False,True
Kaymam is yesterday evening.,kaymam,yesterday evening,yesterday evening,True,False,True,instances,False,True
Kaymam is not yesterday evening.,kaymam,yesterday evening,yesterday evening,False,True,True,instances,False,True
Fkxakewll is yesterday evening.,fkxakewll,yesterday evening,kaymam,False,False,True,instances,False,True
Fkxakewll is not yesterday evening.,fkxakewll,yesterday evening,kaymam,True,True,True,instances,False,True
Kaymay is tomorrow evening.,kaymay,tomorrow evening,tomorrow evening,True,False,True,instances,False,True
Kaymay is not tomorrow evening.,kaymay,tomorrow evening,tomorrow evening,False,True,True,instances,False,True
Rimpin is tomorrow evening.,rimpin,tomorrow evening,kaymay,False,False,True,instances,False,True
Rimpin is not tomorrow evening.,rimpin,tomorrow evening,kaymay,True,True,True,instances,False,True
Kekem is no activity.,kekem,no activity,no activity,True,False,True,instances,False,True
Kekem is not no activity.,kekem,no activity,no activity,False,True,True,instances,False,True
Nrra is no activity.,nrra,no activity,kekem,False,False,True,instances,False,True
Nrra is not no activity.,nrra,no activity,kekem,True,True,True,instances,False,True
Kelku is home.,kelku,home,home,True,False,True,instances,False,True
Kelku is not home.,kelku,home,home,False,True,True,instances,False,True
Kxor is home.,kxor,home,kelku,False,False,True,instances,False,True
Kxor is not home.,kxor,home,kelku,True,True,True,instances,False,True
Kem is activity.,kem,activity,activity,True,False,True,instances,False,True
Kem is not activity.,kem,activity,activity,False,True,True,instances,False,True
Olo' is activity.,olo',activity,kem,False,False,True,instances,False,True
Olo' is not activity.,olo',activity,kem,True,True,True,instances,False,True
Kemuia is dishonor.,kemuia,dishonor,dishonor,True,False,True,instances,False,True
Kemuia is not dishonor.,kemuia,dishonor,dishonor,False,True,True,instances,False,True
Ketengsyon is dishonor.,ketengsyon,dishonor,kemuia,False,False,True,instances,False,True
Ketengsyon is not dishonor.,ketengsyon,dishonor,kemuia,True,True,True,instances,False,True
Kenten is fan lizard.,kenten,fan lizard,fan lizard,True,False,True,instances,False,True
Kenten is not fan lizard.,kenten,fan lizard,fan lizard,False,True,True,instances,False,True
Tsyal is fan lizard.,tsyal,fan lizard,kenten,False,False,True,instances,False,True
Tsyal is not fan lizard.,tsyal,fan lizard,kenten,True,True,True,instances,False,True
Ketartu is outcast.,ketartu,outcast,outcast,True,False,True,instances,False,True
Ketartu is not outcast.,ketartu,outcast,outcast,False,True,True,instances,False,True
Pamtseo is outcast.,pamtseo,outcast,ketartu,False,False,True,instances,False,True
Pamtseo is not outcast.,pamtseo,outcast,ketartu,True,True,True,instances,False,True
Ketengsyon is diversity.,ketengsyon,diversity,diversity,True,False,True,instances,False,True
Ketengsyon is not diversity.,ketengsyon,diversity,diversity,False,True,True,instances,False,True
Mauti is diversity.,mauti,diversity,ketengsyon,False,False,True,instances,False,True
Mauti is not diversity.,mauti,diversity,ketengsyon,True,True,True,instances,False,True
Ketuwong is alien.,ketuwong,alien,alien,True,False,True,instances,False,True
Ketuwong is not alien.,ketuwong,alien,alien,False,True,True,instances,False,True
Dorvi is alien.,dorvi,alien,ketuwong,False,False,True,instances,False,True
Dorvi is not alien.,dorvi,alien,ketuwong,True,True,True,instances,False,True
Keve'o  is chaos and disorder.,keve'o ,chaos and disorder,chaos and disorder,True,False,True,instances,False,True
Keve'o  is not chaos and disorder.,keve'o ,chaos and disorder,chaos and disorder,False,True,True,instances,False,True
Kantseng is chaos and disorder.,kantseng,chaos and disorder,keve'o ,False,False,True,instances,False,True
Kantseng is not chaos and disorder.,kantseng,chaos and disorder,keve'o ,True,True,True,instances,False,True
Keve'out is someone who habitually creates chaos and disorder.,keve'out,someone who habitually creates chaos and disorder,someone who habitually creates chaos and disorder,True,False,True,instances,False,True
Keve'out is not someone who habitually creates chaos and disorder.,keve'out,someone who habitually creates chaos and disorder,someone who habitually creates chaos and disorder,False,True,True,instances,False,True
Fyan is someone who habitually creates chaos and disorder.,fyan,someone who habitually creates chaos and disorder,keve'out,False,False,True,instances,False,True
Fyan is not someone who habitually creates chaos and disorder.,fyan,someone who habitually creates chaos and disorder,keve'out,True,True,True,instances,False,True
Kewan is the age of living things.,kewan,the age of living things,the age of living things,True,False,True,instances,False,True
Kewan is not the age of living things.,kewan,the age of living things,the age of living things,False,True,True,instances,False,True
Txanwetseng is the age of living things.,txanwetseng,the age of living things,kewan,False,False,True,instances,False,True
Txanwetseng is not the age of living things.,txanwetseng,the age of living things,kewan,True,True,True,instances,False,True
Keye'ung is insanity.,keye'ung,insanity,insanity,True,False,True,instances,False,True
Keye'ung is not insanity.,keye'ung,insanity,insanity,False,True,True,instances,False,True
Tsyeytsyìp is insanity.,tsyeytsyìp,insanity,keye'ung,False,False,True,instances,False,True
Tsyeytsyìp is not insanity.,tsyeytsyìp,insanity,keye'ung,True,True,True,instances,False,True
Keyrel is facial expression.,keyrel,facial expression,facial expression,True,False,True,instances,False,True
Keyrel is not facial expression.,keyrel,facial expression,facial expression,False,True,True,instances,False,True
Tskalep is facial expression.,tskalep,facial expression,keyrel,False,False,True,instances,False,True
Tskalep is not facial expression.,tskalep,facial expression,keyrel,True,True,True,instances,False,True
Kiantu is someone who is to blame.,kiantu,someone who is to blame,someone who is to blame,True,False,True,instances,False,True
Kiantu is not someone who is to blame.,kiantu,someone who is to blame,someone who is to blame,False,True,True,instances,False,True
Tskxe is someone who is to blame.,tskxe,someone who is to blame,kiantu,False,False,True,instances,False,True
Tskxe is not someone who is to blame.,tskxe,someone who is to blame,kiantu,True,True,True,instances,False,True
Kifkey is the physical world.,kifkey,the physical world,the physical world,True,False,True,instances,False,True
Kifkey is not the physical world.,kifkey,the physical world,the physical world,False,True,True,instances,False,True
Mideous is the physical world.,mideous,the physical world,kifkey,False,False,True,instances,False,True
Mideous is not the physical world.,mideous,the physical world,kifkey,True,True,True,instances,False,True
Kilvan is river.,kilvan,river,river,True,False,True,instances,False,True
Kilvan is not river.,kilvan,river,river,False,True,True,instances,False,True
Pxir is river.,pxir,river,kilvan,False,False,True,instances,False,True
Pxir is not river.,pxir,river,kilvan,True,True,True,instances,False,True
Kinam is leg.,kinam,leg,leg,True,False,True,instances,False,True
Kinam is not leg.,kinam,leg,leg,False,True,True,instances,False,True
Tseotu is leg.,tseotu,leg,kinam,False,False,True,instances,False,True
Tseotu is not leg.,tseotu,leg,kinam,True,True,True,instances,False,True
Kinamtil is knee.,kinamtil,knee,knee,True,False,True,instances,False,True
Kinamtil is not knee.,kinamtil,knee,knee,False,True,True,instances,False,True
Tsuksìm is knee.,tsuksìm,knee,kinamtil,False,False,True,instances,False,True
Tsuksìm is not knee.,tsuksìm,knee,kinamtil,True,True,True,instances,False,True
Kìng is thread.,kìng,thread,thread,True,False,True,instances,False,True
Kìng is not thread.,kìng,thread,thread,False,True,True,instances,False,True
Henga is thread.,henga,thread,kìng,False,False,True,instances,False,True
Henga is not thread.,henga,thread,kìng,True,True,True,instances,False,True
Kllpxiwll is artichoke-like lionberry fruit.,kllpxiwll,artichoke-like lionberry fruit,artichoke-like lionberry fruit,True,False,True,instances,False,True
Kllpxiwll is not artichoke-like lionberry fruit.,kllpxiwll,artichoke-like lionberry fruit,artichoke-like lionberry fruit,False,True,True,instances,False,True
Vekreng is artichoke-like lionberry fruit.,vekreng,artichoke-like lionberry fruit,kllpxiwll,False,False,True,instances,False,True
Vekreng is not artichoke-like lionberry fruit.,vekreng,artichoke-like lionberry fruit,kllpxiwll,True,True,True,instances,False,True
Koaktan is old man.,koaktan,old man,old man,True,False,True,instances,False,True
Koaktan is not old man.,koaktan,old man,old man,False,True,True,instances,False,True
Fyanyì is old man.,fyanyì,old man,koaktan,False,False,True,instances,False,True
Fyanyì is not old man.,fyanyì,old man,koaktan,True,True,True,instances,False,True
Koakte is old woman.,koakte,old woman,old woman,True,False,True,instances,False,True
Koakte is not old woman.,koakte,old woman,old woman,False,True,True,instances,False,True
Tstunkemtsyìp is old woman.,tstunkemtsyìp,old woman,koakte,False,False,True,instances,False,True
Tstunkemtsyìp is not old woman.,tstunkemtsyìp,old woman,koakte,True,True,True,instances,False,True
Koaktu is old person.,koaktu,old person,old person,True,False,True,instances,False,True
Koaktu is not old person.,koaktu,old person,old person,False,True,True,instances,False,True
Fyinep'ang is old person.,fyinep'ang,old person,koaktu,False,False,True,instances,False,True
Fyinep'ang is not old person.,fyinep'ang,old person,koaktu,True,True,True,instances,False,True
Koren ayll is societal rule.,koren ayll,societal rule,societal rule,True,False,True,instances,False,True
Koren ayll is not societal rule.,koren ayll,societal rule,societal rule,False,True,True,instances,False,True
Tsyokxtil is societal rule.,tsyokxtil,societal rule,koren ayll,False,False,True,instances,False,True
Tsyokxtil is not societal rule.,tsyokxtil,societal rule,koren ayll,True,True,True,instances,False,True
Kot is coat.,kot,coat,coat,True,False,True,instances,False,True
Kot is not coat.,kot,coat,coat,False,True,True,instances,False,True
Atxkxe is coat.,atxkxe,coat,kot,False,False,True,instances,False,True
Atxkxe is not coat.,atxkxe,coat,kot,True,True,True,instances,False,True
Kunsìp is gunship.,kunsìp,gunship,gunship,True,False,True,instances,False,True
Kunsìp is not gunship.,kunsìp,gunship,gunship,False,True,True,instances,False,True
Vrrtep is gunship.,vrrtep,gunship,kunsìp,False,False,True,instances,False,True
Vrrtep is not gunship.,vrrtep,gunship,kunsìp,True,True,True,instances,False,True
Kurfyan is hamper or suspended rack.,kurfyan,hamper or suspended rack,hamper or suspended rack,True,False,True,instances,False,True
Kurfyan is not hamper or suspended rack.,kurfyan,hamper or suspended rack,hamper or suspended rack,False,True,True,instances,False,True
Tìzin is hamper or suspended rack.,tìzin,hamper or suspended rack,kurfyan,False,False,True,instances,False,True
Tìzin is not hamper or suspended rack.,tìzin,hamper or suspended rack,kurfyan,True,True,True,instances,False,True
Kxa is mouth.,kxa,mouth,mouth,True,False,True,instances,False,True
Kxa is not mouth.,kxa,mouth,mouth,False,True,True,instances,False,True
Apxangrr is mouth.,apxangrr,mouth,kxa,False,False,True,instances,False,True
Apxangrr is not mouth.,apxangrr,mouth,kxa,True,True,True,instances,False,True
Kxap is threat.,kxap,threat,threat,True,False,True,instances,False,True
Kxap is not threat.,kxap,threat,threat,False,True,True,instances,False,True
Soqwof is threat.,soqwof,threat,kxap,False,False,True,instances,False,True
Soqwof is not threat.,soqwof,threat,kxap,True,True,True,instances,False,True
Kxemyo is vertical surface wall.,kxemyo,vertical surface wall,vertical surface wall,True,False,True,instances,False,True
Kxemyo is not vertical surface wall.,kxemyo,vertical surface wall,vertical surface wall,False,True,True,instances,False,True
Eltu lefngap is vertical surface wall.,eltu lefngap,vertical surface wall,kxemyo,False,False,True,instances,False,True
Eltu lefngap is not vertical surface wall.,eltu lefngap,vertical surface wall,kxemyo,True,True,True,instances,False,True
Kxener is smoke.,kxener,smoke,smoke,True,False,True,instances,False,True
Kxener is not smoke.,kxener,smoke,smoke,False,True,True,instances,False,True
Rimpin is smoke.,rimpin,smoke,kxener,False,False,True,instances,False,True
